"latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_ti5","frp","daynight","type","Year","Month","Quarter"
51.943089,0.907402,303.65,0.42,0.38,2020-01-01,"0221","N","VIIRS","n",1,275.58,0.77,"N",0,2020,1,1
57.28912,-3.531648,328.99,0.53,0.42,2020-01-01,"1211","N","VIIRS","n",1,269.51,4.16,"D",0,2020,1,1
56.099659,-3.29981,323.56,0.51,0.49,2020-01-03,"0142","N","VIIRS","n",1,275.28,2.95,"N",2,2020,1,1
56.100124,-3.308062,295.93,0.51,0.49,2020-01-03,"0142","N","VIIRS","n",1,273.84,2.9,"N",2,2020,1,1
53.565224,-0.600172,329.54,0.57,0.43,2020-01-03,"0142","N","VIIRS","n",1,281.03,6.71,"N",2,2020,1,1
53.569199,-0.599161,300.3,0.57,0.43,2020-01-03,"0142","N","VIIRS","n",1,279.84,2.24,"N",3,2020,1,1
53.649803,-0.256856,301.14,0.55,0.43,2020-01-03,"0142","N","VIIRS","n",1,278.34,0.76,"N",2,2020,1,1
53.568428,-0.590417,298.61,0.57,0.43,2020-01-03,"0142","N","VIIRS","n",1,279.13,1.03,"N",2,2020,1,1
53.632595,-0.244185,301.82,0.55,0.43,2020-01-03,"0142","N","VIIRS","n",1,281.93,1.93,"N",2,2020,1,1
56.09853,-3.303699,339.92,0.52,0.5,2020-01-03,"0322","N","VIIRS","n",1,275.24,5.32,"N",2,2020,1,1
56.099125,-3.306509,337.46,0.52,0.5,2020-01-03,"0322","N","VIIRS","n",1,275.65,4.8,"N",2,2020,1,1
53.565109,-0.599253,329.23,0.39,0.44,2020-01-03,"1312","N","VIIRS","n",1,281.64,2.15,"D",2,2020,1,1
53.569633,-0.594316,337.9,0.39,0.44,2020-01-03,"1312","N","VIIRS","n",1,279.82,4.35,"D",3,2020,1,1
51.575554,-3.775317,303.8,0.46,0.47,2020-01-04,"0305","N","VIIRS","n",1,270.04,0.81,"N",2,2020,1,1
54.468216,-0.977987,328.09,0.42,0.38,2020-01-04,"1254","N","VIIRS","n",1,277.95,4.78,"D",0,2020,1,1
54.31358,-0.879891,329.43,0.42,0.38,2020-01-04,"1254","N","VIIRS","n",1,278.09,2.59,"D",0,2020,1,1
54.310165,-0.878593,326.26,0.42,0.38,2020-01-04,"1254","N","VIIRS","n",1,279.12,2.02,"D",0,2020,1,1
54.378296,-0.736249,327.78,0.42,0.38,2020-01-04,"1254","N","VIIRS","n",1,280.59,5.11,"D",0,2020,1,1
54.377975,-0.734592,336.55,0.42,0.38,2020-01-04,"1254","N","VIIRS","n",1,278.88,2.96,"D",0,2020,1,1
54.363037,-1.920708,328.39,0.4,0.37,2020-01-04,"1254","N","VIIRS","n",1,277.77,3.6,"D",0,2020,1,1
51.56881,-3.772191,299.25,0.47,0.4,2020-01-05,"0246","N","VIIRS","n",1,275.73,2.5,"N",3,2020,1,1
51.562527,-3.760864,298.05,0.47,0.4,2020-01-05,"0246","N","VIIRS","n",1,274.34,1.01,"N",2,2020,1,1
56.007576,-3.674228,306.67,0.47,0.4,2020-01-07,"0207","N","VIIRS","n",1,276.05,0.86,"N",3,2020,1,1
53.632317,-0.244207,303.9,0.39,0.36,2020-01-07,"0207","N","VIIRS","n",1,278.56,1.17,"N",2,2020,1,1
53.633163,-0.250018,296.72,0.39,0.36,2020-01-07,"0207","N","VIIRS","n",1,279.68,1.17,"N",2,2020,1,1
53.566998,-0.598886,308.7,0.39,0.36,2020-01-07,"0208","N","VIIRS","n",1,278.01,1.39,"N",3,2020,1,1
53.563705,-0.600222,297.6,0.39,0.36,2020-01-07,"0208","N","VIIRS","n",1,274.09,0.67,"N",2,2020,1,1
53.566162,-0.59302,333.51,0.39,0.36,2020-01-07,"0208","N","VIIRS","n",1,276.92,3.62,"N",3,2020,1,1
53.567837,-0.604743,305.61,0.39,0.36,2020-01-07,"0208","N","VIIRS","n",1,275.61,1.39,"N",3,2020,1,1
51.561428,-3.763889,297.62,0.43,0.38,2020-01-07,"0208","N","VIIRS","n",1,273.91,1.08,"N",2,2020,1,1
53.586803,-0.615627,303.06,0.39,0.36,2020-01-07,"0208","N","VIIRS","n",1,277.95,1.26,"N",3,2020,1,1
56.096939,-3.302057,315.67,0.42,0.61,2020-01-07,"0347","N","VIIRS","n",1,273.61,1.18,"N",2,2020,1,1
56.096352,-3.300757,321.71,0.44,0.46,2020-01-08,"0148","N","VIIRS","n",1,272.63,1.59,"N",2,2020,1,1
56.096848,-3.307951,309.21,0.44,0.46,2020-01-08,"0148","N","VIIRS","n",1,272.46,3.56,"N",2,2020,1,1
56.100647,-3.299848,305.78,0.44,0.46,2020-01-08,"0148","N","VIIRS","n",1,272.52,1.59,"N",2,2020,1,1
53.56361,-0.593728,303.9,0.5,0.41,2020-01-08,"0149","N","VIIRS","n",1,280.79,1.61,"N",2,2020,1,1
53.568134,-0.60031,313.53,0.5,0.41,2020-01-08,"0149","N","VIIRS","n",1,281.59,4.47,"N",3,2020,1,1
53.567348,-0.592654,338.16,0.5,0.41,2020-01-08,"0149","N","VIIRS","n",1,283.85,4.47,"N",3,2020,1,1
53.634254,-0.242683,302.6,0.49,0.4,2020-01-08,"0149","N","VIIRS","n",1,283.39,2.28,"N",2,2020,1,1
56.097992,-3.308506,316.5,0.59,0.53,2020-01-08,"0328","N","VIIRS","n",1,270.55,2.31,"N",2,2020,1,1
56.099449,-3.300204,323.94,0.59,0.53,2020-01-08,"0328","N","VIIRS","n",1,269.99,1.91,"N",2,2020,1,1
56.095455,-3.299946,300.42,0.59,0.53,2020-01-08,"0328","N","VIIRS","n",1,270.14,2.31,"N",2,2020,1,1
56.09515,-3.304451,308.16,0.59,0.53,2020-01-08,"0328","N","VIIRS","n",1,270.32,1.91,"N",2,2020,1,1
53.565395,-0.593509,367,0.45,0.63,2020-01-08,"0329","N","VIIRS","h",1,280.09,6.94,"N",2,2020,1,1
53.560265,-0.598371,309.35,0.45,0.63,2020-01-08,"0329","N","VIIRS","n",1,276.05,6.94,"N",2,2020,1,1
53.632927,-0.239909,298.58,0.46,0.63,2020-01-08,"0329","N","VIIRS","n",1,280.22,1.44,"N",2,2020,1,1
53.64455,-0.253504,295.43,0.46,0.63,2020-01-08,"0329","N","VIIRS","n",1,280.75,0.56,"N",2,2020,1,1
54.37019,-0.71442,345.89,0.32,0.55,2020-01-08,"1138","N","VIIRS","n",1,277.43,4.33,"D",0,2020,1,1
54.398224,-1.018015,347.84,0.33,0.55,2020-01-08,"1138","N","VIIRS","n",1,277.89,2.75,"D",0,2020,1,1
54.508568,-0.969713,341.29,0.32,0.55,2020-01-08,"1138","N","VIIRS","n",1,278.08,2.3,"D",0,2020,1,1
56.097939,-3.306448,337.07,0.34,0.56,2020-01-08,"1139","N","VIIRS","n",1,276.81,3.51,"D",2,2020,1,1
54.478031,-1.889871,342.92,0.35,0.57,2020-01-08,"1139","N","VIIRS","n",1,277.77,2.45,"D",0,2020,1,1
51.569965,-3.768115,323.27,0.53,0.5,2020-01-09,"0311","N","VIIRS","n",1,282.42,2.12,"N",2,2020,1,1
51.565655,-3.771145,295.37,0.53,0.5,2020-01-09,"0311","N","VIIRS","n",1,281.96,2.12,"N",2,2020,1,1
51.576229,-3.772313,302.06,0.53,0.5,2020-01-09,"0311","N","VIIRS","n",1,282.19,2.18,"N",2,2020,1,1
56.098202,-3.306008,338.32,0.42,0.38,2020-01-09,"1300","N","VIIRS","n",1,276.2,5.2,"D",2,2020,1,1
56.09618,-3.308839,305.01,0.51,0.66,2020-01-10,"0110","N","VIIRS","n",1,270.75,1.4,"N",2,2020,1,1
56.096222,-3.300345,301.86,0.51,0.66,2020-01-10,"0110","N","VIIRS","n",1,270.26,1.4,"N",2,2020,1,1
